,Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Deliverable Volume,%Deliverble
0,01-01-1996,RELIANCE,EQ,204.65,205.0,206.1,203.65,892.35,205.75,205.26,3717450,76300000000000.0,518905.0,0.43633160025570006
1,02-01-1996,RELIANCE,EQ,205.75,205.25,206.25,202.65,892.35,204.15,204.13,6024650,123000000000000.0,518905.0,0.43633160025570006
2,03-01-1996,RELIANCE,EQ,204.15,207.5,216.95,205.25,892.35,205.7,207.04,7473500,155000000000000.0,518905.0,0.43633160025570006
3,04-01-1996,RELIANCE,EQ,205.7,203.75,204.4,201.05,892.35,203.8,202.47,7744000,157000000000000.0,518905.0,0.43633160025570006
4,05-01-1996,RELIANCE,EQ,203.8,203.0,203.0,200.65,892.35,202.4,202.05,5952000,120000000000000.0,518905.0,0.43633160025570006
5,08-01-1996,RELIANCE,EQ,202.4,202.0,202.15,192.3,892.35,194.3,197.57,6675550,132000000000000.0,518905.0,0.43633160025570006
6,09-01-1996,RELIANCE,EQ,194.3,188.55,192.0,182.25,892.35,188.7,186.15,13880150,258000000000000.0,518905.0,0.43633160025570006
7,10-01-1996,RELIANCE,EQ,188.7,185.0,189.45,183.0,892.35,183.85,186.24,9875700,184000000000000.0,518905.0,0.43633160025570006
8,11-01-1996,RELIANCE,EQ,183.85,182.0,190.5,181.75,892.35,189.6,185.82,14625600,272000000000000.0,518905.0,0.43633160025570006
9,12-01-1996,RELIANCE,EQ,189.6,191.0,192.45,186.35,892.35,187.6,188.95,13377500,253000000000000.0,518905.0,0.43633160025570006
10,15-01-1996,RELIANCE,EQ,187.6,187.05,188.0,184.6,892.35,185.65,186.15,7139950,133000000000000.0,518905.0,0.43633160025570006
11,16-01-1996,RELIANCE,EQ,185.65,185.0,187.0,184.4,892.35,186.0,185.71,7756400,144000000000000.0,518905.0,0.43633160025570006
12,17-01-1996,RELIANCE,EQ,186.0,185.0,185.25,177.05,892.35,178.6,181.66,10697700,194000000000000.0,518905.0,0.43633160025570006
13,18-01-1996,RELIANCE,EQ,178.6,174.05,176.9,171.8,892.35,173.65,174.42,13478000,235000000000000.0,518905.0,0.43633160025570006
14,19-01-1996,RELIANCE,EQ,173.65,171.25,173.4,169.45,892.35,170.6,171.23,11586900,198000000000000.0,518905.0,0.43633160025570006
15,22-01-1996,RELIANCE,EQ,170.6,171.15,175.75,171.0,892.35,173.5,173.8,12089550,210000000000000.0,518905.0,0.43633160025570006
16,23-01-1996,RELIANCE,EQ,173.5,174.1,174.85,157.0,892.35,166.15,170.68,12671700,216000000000000.0,518905.0,0.43633160025570006
17,24-01-1996,RELIANCE,EQ,166.15,164.7,165.7,158.0,892.35,160.45,161.39,12538400,202000000000000.0,518905.0,0.43633160025570006
18,25-01-1996,RELIANCE,EQ,160.45,160.1,160.8,152.75,892.35,153.7,157.11,12883650,202000000000000.0,518905.0,0.43633160025570006
19,29-01-1996,RELIANCE,EQ,153.7,153.0,167.25,152.05,892.35,165.8,160.64,23310600,374000000000000.0,518905.0,0.43633160025570006
20,30-01-1996,RELIANCE,EQ,165.8,171.0,189.0,168.5,892.35,180.7,174.76,37914350,663000000000000.0,518905.0,0.43633160025570006
21,31-01-1996,RELIANCE,EQ,180.7,179.0,185.75,172.25,892.35,176.75,179.43,26118950,469000000000000.0,518905.0,0.43633160025570006
